id,segment_id,audio,genre_original,mood_original,bpm,duration
seg_001,seg_001,seg_001.mp3,jazz,sad,83,12.48
seg_002,seg_002,seg_002.mp3,jazz,calm,94,12.76
seg_003,seg_003,seg_003.mp3,rock,energetic,138,14.49
seg_004,seg_004,seg_004.mp3,rock,happy,136,9.13
seg_005,seg_005,seg_005.mp3,jazz,energetic,135,8.76
seg_006,seg_006,seg_006.mp3,classical,energetic,150,13.81
seg_007,seg_007,seg_007.mp3,jazz,sad,92,9.98
seg_008,seg_008,seg_008.mp3,rock,calm,118,11.28
seg_009,seg_009,seg_009.mp3,pop,sad,94,13.0
seg_010,seg_010,seg_010.mp3,classical,happy,132,13.06
seg_011,seg_011,seg_011.mp3,classical,happy,149,14.91
seg_012,seg_012,seg_012.mp3,rock,energetic,160,8.53
seg_013,seg_013,seg_013.mp3,jazz,happy,160,8.37
seg_014,seg_014,seg_014.mp3,pop,calm,150,14.12
seg_015,seg_015,seg_015.mp3,classical,happy,153,10.47
seg_016,seg_016,seg_016.mp3,jazz,energetic,91,12.28
seg_017,seg_017,seg_017.mp3,pop,happy,140,14.18
seg_018,seg_018,seg_018.mp3,pop,energetic,122,8.12
seg_019,seg_019,seg_019.mp3,rock,calm,141,10.28
seg_020,seg_020,seg_020.mp3,pop,happy,121,14.0
